
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
CLOVER MILK SQ JUG	NONGOMA SPAR	6001299000270/2000027	0000000056881	15/09/2021	6	27.4	164.4
CLOVER CREAM	NONGOMA SPAR	6001299012082/2001206	0000000056881	15/09/2021	1	203.41	203.41
CLOVER DAIRY CREAM SOUR	NONGOMA SPAR	6001299012105/2001207	0000000056881	15/09/2021	1	203.41	203.41
CLOVER CHEESE GOUDA	NONGOMA SPAR	6001299014970/2001495	0000000056881	15/09/2021	1	459.09	459.09
DANAO FRT JCE B/FAST SEN	NONGOMA SPAR	6001299016028/2001598	0000000056881	15/09/2021	1	76.6	76.6
DANAO FRT JCE BLD TROPIC	NONGOMA SPAR	6001299016059/2001599	0000000056881	15/09/2021	1	76.6	76.6
DANANO FRT JCE 5FRT 5VIT	NONGOMA SPAR	6001299016066/2001600	0000000056881	15/09/2021	1	76.6	76.6
DANAO FRT JCE PCH APRICOT	NONGOMA SPAR	6001299016103/2001601	0000000056881	15/09/2021	1	76.6	76.6
DANAO FRUIT BLD BREAKFAST	NONGOMA SPAR	6001299016257/2001625	0000000056881	15/09/2021	10	15.92	159.2
DANAO FRUIT BLND TROPICAL	NONGOMA SPAR	6001299016288/2001628	0000000056881	15/09/2021	10	15.92	159.2
DANAO FRUIT BLND 5FRT 5VI	NONGOMA SPAR	6001299016301/2001630	0000000056881	15/09/2021	10	15.92	159.2
DANAO FRUIT BLND P/APR	NONGOMA SPAR	6001299016325/2001632	0000000056881	15/09/2021	10	15.92	159.2
CLOVER NECTAR BERRY	NONGOMA SPAR	6001299016370/2001637	0000000056881	15/09/2021	6	21.7	130.2
CLOVER CHEESE TUSSERS	NONGOMA SPAR	6001299016783/2001677	0000000056881	15/09/2021	1	459.09	459.09
KRUSH 100% F/JCE R/GRAPE	NONGOMA SPAR	6001299017476/2001741	0000000056881	15/09/2021	1	120.9	120.9
