
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
CLOVER MILK M/C ULT/PAS	ESHOWE SUPERSPAR FR:16/05/16	6001299019296/2006038	0000000304978	14/09/2021	6	29	174
CLOVER TROPIKA P/APLE	ESHOWE SUPERSPAR FR:16/05/16	6001299008122/2051506	0000000304978	14/09/2021	12	23.8	285.6
CLOVER TROPIKA PEACH	ESHOWE SUPERSPAR FR:16/05/16	6001299008504/2051507	0000000304978	14/09/2021	6	23.8	142.8
CL FETA TRAD PLAIN	ESHOWE SUPERSPAR FR:16/05/16	6001299695025/2069502	0000000304978	14/09/2021	1	447.6	447.6
AQUARTZ MIN WATER	ESHOWE SUPERSPAR FR:16/05/16	6001299016486/2101648	0000000304978	14/09/2021	1	98.07	98.07
AQUARTZ M/WATER STILL	ESHOWE SUPERSPAR FR:16/05/16	6001299043451/2104345	0000000304978	14/09/2021	2	106.32	212.64
QUALI JUICE 100% MIX BERR	ESHOWE SUPERSPAR FR:16/05/16	6006040003609/2401824	0000000304978	14/09/2021	1	73.2	73.2
QUALI JUICE TROP PUNCH	ESHOWE SUPERSPAR FR:16/05/16	6006040000189/2402264	0000000304978	14/09/2021	1	76.2	76.2
CLOVER YOG L/F SM S/BERRY	ESHOWE SUPERSPAR FR:16/05/16	6001299001932/2402979	0000000304978	14/09/2021	1	141	141
CLOVER SIP UP STRAWBERRY	ESHOWE SUPERSPAR FR:16/05/16	6001299034022/2404306	0000000304978	14/09/2021	1	93.54	93.54
CLOVER SIP UP APRICOT	ESHOWE SUPERSPAR FR:16/05/16	6001299034039/2404308	0000000304978	14/09/2021	1	93.56	93.56
CLOVER SIP UP GRANADILLA	ESHOWE SUPERSPAR FR:16/05/16	6001299034046/2404309	0000000304978	14/09/2021	1	93.56	93.56
ESK LOIN RIB MARINATED	ESHOWE SUPERSPAR FR:16/05/16	6001336003714/4008330	0000000304978	14/09/2021	2	930	1860
ESKORT CHICKEN VIENNAS	ESHOWE SUPERSPAR FR:16/05/16	6001336122712/4012271	0000000304978	14/09/2021	2	385.32	770.64
CLOVER 2% LF MILK SQ	ESHOWE SUPERSPAR FR:16/05/16	6001299000621/6000062	0000000304978	14/09/2021	6	27.4	164.4
MAGEU MORINGA ORIGINAL 10x1Lt	ESHOWE SUPERSPAR FR:16/05/16	6001260340794/600751	0000000304978	14/09/2021	3	121.67	365.01
CLOVER MNANDI CREAMY	ESHOWE SUPERSPAR FR:16/05/16	6001260000230/605060	0000000304978	14/09/2021	3	94.17	282.51
CLOVER MNANDI BANANA	ESHOWE SUPERSPAR FR:16/05/16	6001260000209/605061	0000000304978	14/09/2021	5	94.17	470.85
CLOVER MNANDI PINEAPPLE	ESHOWE SUPERSPAR FR:16/05/16	6001260000216/605062	0000000304978	14/09/2021	8	94.17	753.36
CLOVER SMART DRNK VAN CAR	ESHOWE SUPERSPAR FR:16/05/16	6001299029080/7802931	0000000304978	14/09/2021	1	97.92	97.92
CLOVER SMART DRNK STR BAN	ESHOWE SUPERSPAR FR:16/05/16	6001299029066/7802932	0000000304978	14/09/2021	1	97.92	97.92

