
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
NESTLE P/LIFE STILL	ESHOWE SUPERSPAR FR:16/05/16	6004318000602/12076030	0000000304978	14/09/2021	1	106.32	106.32
CLOVER MILK SQ JUG	ESHOWE SUPERSPAR FR:16/05/16	6001299000270/2000027	0000000304978	14/09/2021	24	27.4	657.6
CLOVER F/CREAM MILK L/LIFE	ESHOWE SUPERSPAR FR:16/05/16	6001299002397/2000222	0000000304978	14/09/2021	2	84.5	169
CLOVER TROPIKA PINEAPPLE	ESHOWE SUPERSPAR FR:16/05/16	6001299007972/2000858	0000000304978	14/09/2021	1	117	117
CL KRUSH 100%ORANGE	ESHOWE SUPERSPAR FR:16/05/16	6001299010101/2001044	0000000304978	14/09/2021	1	120.9	120.9
CL KRUSH 100% BERRIES	ESHOWE SUPERSPAR FR:16/05/16	6001299010637/2001063	0000000304978	14/09/2021	1	120.9	120.9
CLOVER NECTAR BERRY	ESHOWE SUPERSPAR FR:16/05/16	6001299016370/2001637	0000000304978	14/09/2021	6	21.7	130.2
CLOVER  FULL CREAM L/F MILK STERI	ESHOWE SUPERSPAR FR:16/05/16	6001299024931/2002494	0000000304978	14/09/2021	1	28.48	28.48
CLOVER MILK FRESH F/CREAM	ESHOWE SUPERSPAR FR:16/05/16	6001299025402/2002540	0000000304978	14/09/2021	10	14.5	145
TROPIKA EAZY ORANGE	ESHOWE SUPERSPAR FR:16/05/16	6001299028106/2002800	0000000304978	14/09/2021	2	119.04	238.08
TROPIKA EAZY PINEAPPLE	ESHOWE SUPERSPAR FR:16/05/16	6001299028113/2002806	0000000304978	14/09/2021	2	119.04	238.08
CLOVER NUMEL MILK UHT FULL CREAM	ESHOWE SUPERSPAR FR:16/05/16	6001299000133/2002911	0000000304978	14/09/2021	4	72.6	290.4
KRUSH 100% FRT JCE CRANB	ESHOWE SUPERSPAR FR:16/05/16	6001299010309/2003405	0000000304978	14/09/2021	1	120.9	120.9
CLOVER GOUDA IWS PROC	ESHOWE SUPERSPAR FR:16/05/16	6001299012488/2003562	0000000304978	14/09/2021	1	345.71	345.71
CLOVER CHEDDAR IWS PROC	ESHOWE SUPERSPAR FR:16/05/16	6001299012440/2003699	0000000304978	14/09/2021	1	345.71	345.71
KRUSH 100% JCE CARROT ORN	ESHOWE SUPERSPAR FR:16/05/16	6001299015359/2003966	0000000304978	14/09/2021	1	120.9	120.9
TROPIKA MANGO PEACH	ESHOWE SUPERSPAR FR:16/05/16	6001299043017/2004301	0000000304978	14/09/2021	6	23.13	138.78
KRUSH 100% APPLE	ESHOWE SUPERSPAR FR:16/05/16	6001299049668/2004970	0000000304978	14/09/2021	1	120.9	120.9
KRUSH 100% UHT FR/FIB	ESHOWE SUPERSPAR FR:16/05/16	6001299007392/2005190	0000000304978	14/09/2021	2	95.06	190.12
TROPIKA SMOOVE PINEAPPLE	ESHOWE SUPERSPAR FR:16/05/16	6001299053825/2005381	0000000304978	14/09/2021	1	97.61	97.61
TROPIKA SMOOVE MANGO   PEACH	ESHOWE SUPERSPAR FR:16/05/16	6001299053856/2005384	0000000304978	14/09/2021	1	97.61	97.61
CLOVER CREAMER CREAMEL	ESHOWE SUPERSPAR FR:16/05/16	6001299016219/2005466	0000000304978	14/09/2021	1	518.26	518.26
CLASSIC FAT SPREAD TUB40%	ESHOWE SUPERSPAR FR:16/05/16	6001299014277/2005472	0000000304978	14/09/2021	1	200.28	200.28
CLOVER MILK FRESH M/C S/F	ESHOWE SUPERSPAR FR:16/05/16	6001299019203/2006030	0000000304978	14/09/2021	4	67.9	271.6
CLOVER MILK FRESH M/C S/F	ESHOWE SUPERSPAR FR:16/05/16	6001299019227/2006031	0000000304978	14/09/2021	3	112.62	337.86
