
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
DANUP 2IN1 BANANA	ALGOA FOODS SPAR	6009616040114/114901	0000000135886	24/11/2022	1	139.83	139.83
DANONE DANUP 2IN1 MALT	ALGOA FOODS SPAR	6009708460578/138007	0000000135886	24/11/2022	1	139.83	139.83
DANONE SNAX BANOFFEE	ALGOA FOODS SPAR	6009708460851/146882	0000000135886	24/11/2022	1	72.3	72.3
DANONE SNAX MIX FRUIT	ALGOA FOODS SPAR	6009708460844/146884	0000000135886	24/11/2022	2	72.3	144.6
DANONE SNAX STRAWBERRY	ALGOA FOODS SPAR	6009708460868/146885	0000000135886	24/11/2022	2	72.3	144.6
N/DAY YOG FRT C/TAIL LF	ALGOA FOODS SPAR	6009708461100/153317	0000000135886	24/11/2022	1	167.87	167.87
N/DAY YOG FRT STRAWB LF	ALGOA FOODS SPAR	6009708461131/153397	0000000135886	24/11/2022	1	167.87	167.87
N/DAY YOG JUN FF STRW BAN	ALGOA FOODS SPAR	6009708461377/157987	0000000135886	24/11/2022	1	100.09	100.09
N/DAY SNAX SM SB GRAN APR	ALGOA FOODS SPAR	6009708461988/180172	0000000135886	24/11/2022	2	109.4	218.8
N/DAY DS SM STRAWBERRY	ALGOA FOODS SPAR	6009708461896/180690	0000000135886	24/11/2022	2	114.02	228.04
N/DAY DS SM VANILLA	ALGOA FOODS SPAR	6009708461940/180893	0000000135886	24/11/2022	2	114.02	228.04
N/DAY DS SM TROPICAL	ALGOA FOODS SPAR	6009708461933/180894	0000000135886	24/11/2022	2	114.02	228.04
N/DAY DS SM MFRT/PINE/MAN	ALGOA FOODS SPAR	6009708461926/180895	0000000135886	24/11/2022	1	114.02	114.02
N/DAY DS SM STRW/MFRT/B	ALGOA FOODS SPAR	6009708461919/180896	0000000135886	24/11/2022	1	114.02	114.02
N/DAY DS SM BERRY MEDLEY	ALGOA FOODS SPAR	6009708461902/180897	0000000135886	24/11/2022	2	114.02	228.04
N/DAY DS SM STRW/GRAN/APR	ALGOA FOODS SPAR	6009708461971/180898	0000000135886	24/11/2022	1	114.02	114.02
ULTRAMEL M/SHAKE CHOC	ALGOA FOODS SPAR	6009708461827/183638	0000000135886	24/11/2022	1	60.99	60.99
DANUP BOOST 3IN1 BERRY	ALGOA FOODS SPAR	6009708462305/187968	0000000135886	24/11/2022	1	81.36	81.36
YOGI SIP APRICOT	ALGOA FOODS SPAR	6009705290130/93806	0000000135886	24/11/2022	1	76.46	76.46
YOGI SIP GRANADILLA	ALGOA FOODS SPAR	6009705290192/93809	0000000135886	24/11/2022	1	76.46	76.46
YOGI SIP STRAWBERRY	ALGOA FOODS SPAR	6009705290215/93810	0000000135886	24/11/2022	1	76.46	76.46
YOGI SIP APRICOT	ALGOA FOODS SPAR	6009705290253/93832	0000000135886	24/11/2022	1	79.27	79.27
YOGI SIP DRINK GRANADILLA	ALGOA FOODS SPAR	6009705290277/93833	0000000135886	24/11/2022	1	79.27	79.27
YOGI SIP STRAWBERRY	ALGOA FOODS SPAR	6009705290291/93834	0000000135886	24/11/2022	2	79.27	158.54
N/DAY YOG L/F MIX BERRY	ALGOA FOODS SPAR	6009616042965/94859	0000000135886	24/11/2022	1	158.99	158.99
YOGI SIP GRANADILLA	ALGOA FOODS SPAR	6009616049315/95658	0000000135886	24/11/2022	1	137.58	137.58
YOGI SIP STRAWBERRY	ALGOA FOODS SPAR	6009616049322/95659	0000000135886	24/11/2022	1	137.58	137.58
INKOMAZI MAAS JUG FFAT	ALGOA FOODS SPAR	6009616048806/98228	0000000135886	24/11/2022	2	187.54	375.08
ULTRAMEL CUSTARD VANILLA	ALGOA FOODS SPAR	60025494/98233	0000000135886	24/11/2022	1	129.59	129.59

