
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
LAYS CARIBON BALSAM V/GAR	SILVERPLACE SUPERSPAR	6009710721605/3041807	0000000127741	12/01/2022	1	240	240
SIMBA BRAAIWORS	SILVERPLACE SUPERSPAR	6009710722237/3054625	0000000127741	12/01/2022	4	245.74	980.23
SIMBA CHEESY STEAK	SILVERPLACE SUPERSPAR	6009710722220/3054629	0000000127741	12/01/2022	4	245.74	980.23
SIMBA SMOKED BEEF	SILVERPLACE SUPERSPAR	6009710722145/3054633	0000000127741	12/01/2022	4	245.74	980.23
SIMBA CHEESE   ONION	SILVERPLACE SUPERSPAR	6009710722176/3054654	0000000127741	12/01/2022	4	245.74	980.23
SIMBA XLB BRAAI WORS	SILVERPLACE SUPERSPAR	6009710721346/3057069	0000000127741	12/01/2022	1	212.5	212.5
SIMBA PEANUTS	SILVERPLACE SUPERSPAR	6009510803624/3347	0000000127741	12/01/2022	1	323	323
SIMBA PEANUTS   RAISINS	SILVERPLACE SUPERSPAR	6009510803648/3349	0000000127741	12/01/2022	1	352	352
SIMBA PEANUTS	SILVERPLACE SUPERSPAR	6009510803617/3367	0000000127741	12/01/2022	1	352	352
SIMBA CHIPS SMOKED BEEF	SILVERPLACE SUPERSPAR	6009510809466/340040349	0000000127741	12/01/2022	2	268	536
SIMBA CHIPS MEXICAN CHILL	SILVERPLACE SUPERSPAR	6009510808575/340040350	0000000127741	12/01/2022	6	268	1608
SIMBA CHIPS SLT   VINEGAR	SILVERPLACE SUPERSPAR	6009510809435/340040364	0000000127741	12/01/2022	2	268	536
SIMBA CHIPS MRS H S BALLS	SILVERPLACE SUPERSPAR	6009510809473/340040365	0000000127741	12/01/2022	2	268	536
SIMBA CHIPS CHSE   ONION	SILVERPLACE SUPERSPAR	6009510809497/340040366	0000000127741	12/01/2022	2	268	536
SIMBA CHIPS AG TOMATO SCE	SILVERPLACE SUPERSPAR	6009510809480/340040367	0000000127741	12/01/2022	6	268	1608
SIMBA CHIPS CHILLI BILTON	SILVERPLACE SUPERSPAR	6009710721292/340040427	0000000127741	12/01/2022	6	268	1608
LAYS SALT   VINEGAR	SILVERPLACE SUPERSPAR	6009710721322/340044	0000000127741	12/01/2022	4	281.5	1126
SIMBA CHIPS CHAKALAKA	SILVERPLACE SUPERSPAR	6009710721261/340044354	0000000127741	12/01/2022	6	268	1608
SIMBA MUNCHIEZ CHSE STRIP	SILVERPLACE SUPERSPAR	6009710721940/340047625	0000000127741	12/01/2022	1	128.5	128.5
SIMBA GHOST POPS	SILVERPLACE SUPERSPAR	6009510800197/344	0000000127741	12/01/2022	2	127	254
SIMBA PEANUTS SALT	SILVERPLACE SUPERSPAR	6009510805963/3607	0000000127741	12/01/2022	3	121	363
SIMBA POPCORN WHITE CHEDD	SILVERPLACE SUPERSPAR	6009510807844/4004	0000000127741	12/01/2022	1	118.5	118.5
SIMBA CREAMY CHEDDAR STRP	SILVERPLACE SUPERSPAR	6009510805642/5063	0000000127741	12/01/2022	2	188	376
FRITOS TOMATO	SILVERPLACE SUPERSPAR	6009510800982/5285	0000000127741	12/01/2022	1	236.5	236.5
FRITOS SWEET CHILLI	SILVERPLACE SUPERSPAR	6009510800999/5286	0000000127741	12/01/2022	1	236.5	236.5
NIKNAKS CHEESE SNACK	SILVERPLACE SUPERSPAR	6009510804515/5433	0000000127741	12/01/2022	1	0	0
NIKNAKS CHS   SWT CH 200G COLL	SILVERPLACE SUPERSPAR	0/7	0000000127741	12/01/2022	1	183	183

