
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
SIMBA PRET SALTED 12X200G	SILVERPLACE SUPERSPAR	0/	0000000127741	12/01/2022	1	166.5	166.5
SIMBA SALTY SNACK MIX	SILVERPLACE SUPERSPAR	6009510803860/132728	0000000127741	12/01/2022	2	121	242
SIMBA PRETZELS SALTED	SILVERPLACE SUPERSPAR	6009510809558/139977	0000000127741	12/01/2022	1	148	148
NIKNAKS CHS   BBQ 200G COLLISI	SILVERPLACE SUPERSPAR	0/140174	0000000127741	12/01/2022	1	183	183
NIKNAKS SPICY BEEF 22G STRIPS	SILVERPLACE SUPERSPAR	0/140179	0000000127741	12/01/2022	1	198.5	198.5
LAYS JAPAN TERIYAKI CHIC	SILVERPLACE SUPERSPAR	6009710720660/141436	0000000127741	12/01/2022	4	281.5	1126
LAYS SALT	SILVERPLACE SUPERSPAR	6009710720622/141505	0000000127741	12/01/2022	6	281.5	1689
LAYS THAI SWEET CHILLI	SILVERPLACE SUPERSPAR	6009710720608/141515	0000000127741	12/01/2022	6	281.5	1689
LAYS ITALIAN CHSE GRATIN	SILVERPLACE SUPERSPAR	6009710720639/141516	0000000127741	12/01/2022	6	281.5	1689
LAYS SOUR CREAM   ONION	SILVERPLACE SUPERSPAR	6009710720592/141518	0000000127741	12/01/2022	6	281.5	1689
LAYS SPRING ONION   CHEES	SILVERPLACE SUPERSPAR	6009710720585/141519	0000000127741	12/01/2022	4	281.5	1124.8
LAYS SWEET SMOKY AMER BBQ	SILVERPLACE SUPERSPAR	6009710720653/141520	0000000127741	12/01/2022	6	281.5	1689
LAYS CARRIBEAN ONION BALS	SILVERPLACE SUPERSPAR	6009710720615/141524	0000000127741	12/01/2022	6	281.5	1687.19
DORITOS SUPREME CHEESE	SILVERPLACE SUPERSPAR	6009710721490/3041771	0000000127741	12/01/2022	1	197	197
DORITOS SWT CHILLI PEPPER	SILVERPLACE SUPERSPAR	6009710721728/3041775	0000000127741	12/01/2022	1	197	197
DORITOS SPICY WINGS	SILVERPLACE SUPERSPAR	6009710721506/3041779	0000000127741	12/01/2022	1	197	197
DORITOS S/CRM   M/CHILLI	SILVERPLACE SUPERSPAR	6009710721513/3041784	0000000127741	12/01/2022	1	197	197
SIMBA XLB SMOKEY BEEF	SILVERPLACE SUPERSPAR	6009710721612/3041789	0000000127741	12/01/2022	1	212.5	212.5
SIMBA XLB MRS BALLS CHUTN	SILVERPLACE SUPERSPAR	6009710721629/3041793	0000000127741	12/01/2022	1	212.5	212.5
SIMBA XLB CREAMY CHEDDAR	SILVERPLACE SUPERSPAR	6009710721636/3041798	0000000127741	12/01/2022	1	212.5	212.5
LAYS SALTED	SILVERPLACE SUPERSPAR	6009710721575/3041803	0000000127741	12/01/2022	1	240	240
