
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
NIKNAKS CHEESE	UNDERBERG SUPERSPAR	6009510808643/1014735001	101020/344632	03/04/2023	20	213.5	4270
SIMBA PORT PER 120GR PERI PERI	UNDERBERG SUPERSPAR	6009710722374/1015731008	101020/344632	03/04/2023	2	300.5	601
SIMBA CHIPS SMOKED BEEF	UNDERBERG SUPERSPAR	6009510809466/1007675005	101020/344632	03/04/2023	20	321	6420
SIMBA CHIPS MEXICAN CHILLI	UNDERBERG SUPERSPAR	6009510809442/1007675006	101020/344632	03/04/2023	2	309	618
SIMBA CHIPS MRS BALLS	UNDERBERG SUPERSPAR	6009510809473/1007675002	101020/344632	03/04/2023	20	309	6180
LAYS SALT	UNDERBERG SUPERSPAR	6009710720622/1015731003	101020/344632	03/04/2023	10	300.5	3005
DORITOS SWEET CHILLI	UNDERBERG SUPERSPAR	6009710721520/1004394002	101020/344632	03/04/2023	10	304.5	3045
DORITOS SUPREME CHEESE	UNDERBERG SUPERSPAR	6009710721537/1004394001	101020/344632	03/04/2023	10	304.5	3045
DORITOS S/CRM &amp;amp; M/CHILLI-	UNDERBERG SUPERSPAR	6009710721551/1004394004	101020/344632	03/04/2023	5	304.5	1522.5
NIKNAKS FLAMIN HOT	UNDERBERG SUPERSPAR	6009710721896/1014735003	101020/344632	03/04/2023	2	213.5	427
SIMBA MUNCHIEZ CHEESE	UNDERBERG SUPERSPAR	6009710722404/1023593	101020/344632	03/04/2023	5	123	615
SIMBA ZINGER HOT WINGS	UNDERBERG SUPERSPAR	6009710721780/1007675007	101020/344632	03/04/2023	10	309	3090
LAY'S FRENCH GARLIC BAGUETTE	UNDERBERG SUPERSPAR	6009710722381/1014730006	101020/344632	03/04/2023	2	236	472
LAYS FRENCH GARLIC BAGUETTE	UNDERBERG SUPERSPAR	6009710722398/1015731009	101020/344632	03/04/2023	2	300.5	601
SIMBA CHIPNIKS 100GR	UNDERBERG SUPERSPAR	6001069202804/1006269	101020/344632	03/04/2023	2	160.5	321
SIMBA PEANUTS  150GR PEANUTS&amp;amp;R	UNDERBERG SUPERSPAR	6009510803655/1014729002	101020/344632	03/04/2023	2	389.5	779
SIMBA PEANUTS  450GR PEANUTS&amp;amp;R	UNDERBERG SUPERSPAR	6009510803648/1022636002	101020/344632	03/04/2023	2	400	800
SIMBA PEANUTS 450GR ORIGINAL	UNDERBERG SUPERSPAR	6009510803617/1022636001	101020/344632	03/04/2023	2	400	800
SIMBA CHIPS CREAMY CHEDDAR	UNDERBERG SUPERSPAR	6009710722169/1007675003	101020/344632	03/04/2023	40	321	12840
SIMBA CHIPS CHEESE &amp;amp; ONION	UNDERBERG SUPERSPAR	6009510809497/1007675004	101020/344632	03/04/2023	20	321	6420
SIMBA SWEET&amp;amp;SM 120GR SWEET&amp;amp;SMO	UNDERBERG SUPERSPAR	6009710720653/1015731001	101020/344632	03/04/2023	10	300.5	3005
SIMBA GHOST POPS BRAAI	UNDERBERG SUPERSPAR	6009510800197/1022634	101020/344632	03/04/2023	5	146.5	732.5
SIMBA PEANUTS  50GR SALTED	UNDERBERG SUPERSPAR	6009510802924/1022635001	101020/344632	03/04/2023	5	148.5	742.5
SIMBA PEANUTS NUTS&amp;amp;RAISI	UNDERBERG SUPERSPAR	6009510802931/1022635002	101020/344632	03/04/2023	2	148.5	297
SIMBA PEANUTS SALT	UNDERBERG SUPERSPAR	6009510805963/1014732002	101020/344632	03/04/2023	5	151	755
SIMBA PEANUTS&amp;amp; 60GR PEANUTS&amp;amp;RA	UNDERBERG SUPERSPAR	6009510805970/1014732001	101020/344632	03/04/2023	16	151	2416
NIKNAKS STRIP CHEES PROMO 5EA	UNDERBERG SUPERSPAR	6009510803488/1004143	101020/344632	03/04/2023	5	229.5	1147.5

