
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
N/RIETFONTEIN N/JCE GUAVA	ELISENHEIM SPAR	6006739001664/20816	0000000036905	10/06/2022	1	279.6	279.6
RIETFONTEIN FRUIT JCE GUAVA	ELISENHEIM SPAR	6006739001688/20818	0000000036905	10/06/2022	1	309.84	309.84
N/RIETFONTEIN N/JCE ORANG	ELISENHEIM SPAR	6006739001626/20820	0000000036905	10/06/2022	1	279.6	279.6
N/RIETFONTEIN N/JCE ORANG	ELISENHEIM SPAR	6006739001633/20821	0000000036905	10/06/2022	1	322.6	322.6
N/RIETFONTEIN N/JCE ORANG	ELISENHEIM SPAR	6006739001640/20822	0000000036905	10/06/2022	1	309.84	309.84
N/RIETFONTEIN N/JCE MANGO	ELISENHEIM SPAR	6006739001824/20827	0000000036905	10/06/2022	1	301.2	301.2
N/RIETFONTEIN N/JCE MANGO	ELISENHEIM SPAR	6006739001831/20828	0000000036905	10/06/2022	1	322.6	322.6
N/RIETFONTEIN N/JCE MANGO	ELISENHEIM SPAR	6006739001848/20829	0000000036905	10/06/2022	1	309.84	309.84
N/FARM MILK F/C	ELISENHEIM SPAR	6005874000082/20861	0000000036905	10/06/2022	1	262.2	262.2
N/FARM MILK F/C	ELISENHEIM SPAR	6005874000075/20862	0000000036905	10/06/2022	1	370.8	370.8
N/FARM MILK F/C	ELISENHEIM SPAR	6005874000181/20863	0000000036905	10/06/2022	2	439.68	879.36
N/EVERYDAY YOG STRAWBERRY	ELISENHEIM SPAR	6006739004771/23931	0000000036905	10/06/2022	1	204	204
N/EVERYDAY YOG BULGARIAN	ELISENHEIM SPAR	6006739004870/23941	0000000036905	10/06/2022	1	204	204
N/OMAERE MILK THK F/C SWT	ELISENHEIM SPAR	6006739005075/27975	0000000036905	10/06/2022	1	447.6	447.6
NAMMILK YOG GREEK STYL	ELISENHEIM SPAR	6006739005785/28477	0000000036905	10/06/2022	2	174.66	349.32
N/MYMOO YOG SMT STR/VAN/B	ELISENHEIM SPAR	6006739005549/30812	0000000036905	10/06/2022	1	151.12	151.12
N/EVERYDAY YOG STR/BAN/PE	ELISENHEIM SPAR	6006739005563/30814	0000000036905	10/06/2022	1	151.12	151.12
N/EVERYDAY YOG STRAWB	ELISENHEIM SPAR	6006739005891/33939	0000000036905	10/06/2022	1	156.72	156.72
N/EVERYDAY YOG FRT SALAD	ELISENHEIM SPAR	6006739005907/33941	0000000036905	10/06/2022	1	156.72	156.72
N/EVERYDAY YOG VAN SMTH	ELISENHEIM SPAR	6006739005976/33942	0000000036905	10/06/2022	1	156.72	156.72
LURPAK BUTTER SPREADABLE	ELISENHEIM SPAR	5740900401099/45921	0000000036905	10/06/2022	1	432.35	432.35
N/OSHIKANDELA D/YOG SWEET	ELISENHEIM SPAR	6009880834730/46131	0000000036905	10/06/2022	1	447.6	447.6
LURPAK BUTTER SPREADABLE	ELISENHEIM SPAR	5740900805408/48226	0000000036905	10/06/2022	1	647.87	647.87
F/CAPE BARNEY PCH/STR/PEAR FC	ELISENHEIM SPAR	6007414002815/48780	0000000036905	10/06/2022	1	122	122
F/CAPE J/LEAGUE CHOC MILKSHAKE FC	ELISENHEIM SPAR	6007151002154/48792	0000000036905	10/06/2022	1	0	0
F/C CARAMEL FLAMBI DESSERT	ELISENHEIM SPAR	6007414002525/48796	0000000036905	10/06/2022	2	65.04	130.08
F/C CHOCOLATE MOUSSE	ELISENHEIM SPAR	6007414000934/48799	0000000036905	10/06/2022	2	49.68	99.36
F/C CARAMEL FLAMBI DESSERT	ELISENHEIM SPAR	6007414002297/48801	0000000036905	10/06/2022	2	120.6	241.2
F/C CARAMEL FLAMBI DESSERT	ELISENHEIM SPAR	6007414001146/48803	0000000036905	10/06/2022	2	220.97	441.94
NAMMILK UHT FC MILK FRESH BOX	ELISENHEIM SPAR	6009880834266/54885	0000000036905	10/06/2022	15	99.77	1496.54
NAMMILK UHT LOW FAT FRESH BOX	ELISENHEIM SPAR	6009880834273/54886	0000000036905	10/06/2022	6	99.77	598.62
D/LOVE YOG LF PEACH	ELISENHEIM SPAR	6009880834297/56287	0000000036905	10/06/2022	1	122.82	122.82

