
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
CADBURY SLAB TOP DECK	BOKSBURG SUPERSPAR	6001065601311/378403	0000000186708	03/02/2023	2	321.6	643.2
CADBURY BAR 5 STAR	BOKSBURG SUPERSPAR	7622210622211/4029981	0000000186708	03/02/2023	4	257.28	1029.12
OREO BISCUIT ORIGIANL	BOKSBURG SUPERSPAR	7622210642301/4031195	0000000186708	03/02/2023	1	72	72
HALLS C/DROPS F/EXPLOSION	BOKSBURG SUPERSPAR	60026125/4032701	0000000186708	03/02/2023	1	112.67	112.67
OREO COOKIES CHOC/CREME	BOKSBURG SUPERSPAR	7622210642783/4053172	0000000186708	03/02/2023	1	72	72
CADBURY FLAKE ORIGINAL	BOKSBURG SUPERSPAR	50312351/4059075	0000000186708	03/02/2023	1	348.81	348.81
LUNCH BAR CHOC BAR MAX	BOKSBURG SUPERSPAR	7622210876782/4062634	0000000186708	03/02/2023	4	299.4	1197.6
STIMOROL GUM S/F B/BERRY	BOKSBURG SUPERSPAR	7622210945662/4070179	0000000186708	03/02/2023	1	94.86	94.86
OREO COOKIES ORIGINAL	BOKSBURG SUPERSPAR	7622201779030/4266598	0000000186708	03/02/2023	2	221.6	443.2
OREO COOKIES CHOCO CREAM	BOKSBURG SUPERSPAR	7622201779573/4266649	0000000186708	03/02/2023	2	221.6	443.2
OREO COOKIES GOLDEN	BOKSBURG SUPERSPAR	7622201787028/4267464	0000000186708	03/02/2023	2	221.6	443.2
Endearmints Original 100g	BOKSBURG SUPERSPAR	7622201522834/4278127	0000000186708	03/02/2023	1	347.04	347.04
Endearmints Spearmint 100g	BOKSBURG SUPERSPAR	7622201522872/4278128	0000000186708	03/02/2023	1	347.04	347.04
CADBURY BUBBLY MINT	BOKSBURG SUPERSPAR	6001065600529/641762	0000000186708	03/02/2023	1	428.04	428.04
CADBURY CRUNCHIE LARGE	BOKSBURG SUPERSPAR	6001065036427/672272	0000000186708	03/02/2023	3	321.6	964.8
CADBURY SLAB CARAMEL	BOKSBURG SUPERSPAR	6001065600888/673148	0000000186708	03/02/2023	1	321.6	321.6
CADBURY LUNCH BAR DREAM	BOKSBURG SUPERSPAR	6001065034010/673853	0000000186708	03/02/2023	3	321.6	964.8
CADBURY LUNCH BAR LARGE	BOKSBURG SUPERSPAR	6001065034027/673856	0000000186708	03/02/2023	3	321.6	964.8
CADBURY PS D/MILK ORG	BOKSBURG SUPERSPAR	6001065034065/673859	0000000186708	03/02/2023	1	321.6	321.6
CADBURY PS CARAMILK LARGE	BOKSBURG SUPERSPAR	6001065034089/673862	0000000186708	03/02/2023	1	321.6	321.6
CADBURY ASTROS LARGE	BOKSBURG SUPERSPAR	6001065034324/673887	0000000186708	03/02/2023	1	321.6	321.6
CADBURY WHISPERS	BOKSBURG SUPERSPAR	6001065036397/673986	0000000186708	03/02/2023	1	307.44	307.44
CADBURY CHOMP LARGE	BOKSBURG SUPERSPAR	6001065421902/674079	0000000186708	03/02/2023	2	320.63	641.26
CADBURY ASTRO'S	BOKSBURG SUPERSPAR	6001065463407/674095	0000000186708	03/02/2023	2	553.35	1106.7
CADBURY WHISPERS BAG	BOKSBURG SUPERSPAR	6001065053257/674210	0000000186708	03/02/2023	1	704.6	704.6
CADBURY SLAB TOP DECK	BOKSBURG SUPERSPAR	6001065601090/677135	0000000186708	03/02/2023	4	310.8	1243.2
CADBURY SLAB WHOLE NUT	BOKSBURG SUPERSPAR	6001065601229/677147	0000000186708	03/02/2023	4	469.2	1876.8
CADBURY BUBBLY TOP DECK	BOKSBURG SUPERSPAR	6001065601298/677904	0000000186708	03/02/2023	1	428.04	428.04
CADBURY CHOC SLAB BUBBLY	BOKSBURG SUPERSPAR	6001065600260/973621	0000000186708	03/02/2023	1	428.04	428.04

