
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
CLOV MILK L F SQ BT      1x2Lt	MALVERN MARKET SUPERSPAR	6001299000621/2000062	0000000269640		12	33.9	406.80
CLOV MILK F C SQ BT      1x2Lt	MALVERN MARKET SUPERSPAR	6001299000270/2000027	0000000269640		60	33.9	2034.00
CLOV MILK F C SEAL FR    1x1Lt	MALVERN MARKET SUPERSPAR	6001299025402/2002540	0000000269640		20	19.55	391.00
CLOV MILK F C SEAL FR 10x250ml	MALVERN MARKET SUPERSPAR	6001299025419/2002542	0000000269640		2	88	176.00
CLOV MILK F C SEAL FR 10x500ml	MALVERN MARKET SUPERSPAR	6001299025440/2002545	0000000269640		6	120	720.00
SUPER M CHOCOLATE    4x6x300ml	MALVERN MARKET SUPERSPAR	6001299044601/2004461	0000000269640		1	260.16	260.16
CLOV ULT PAS F C MILK    1x2Lt	MALVERN MARKET SUPERSPAR	6001299016158/2001615	0000000269640		6	33.9	203.40
CLOVER ULTRA UHT F C  10x500ml	MALVERN MARKET SUPERSPAR	6001299026881/2002899	0000000269640		3	110	330.00
CLOV NOLAC UHT M FAT MLK 6x1Lt	MALVERN MARKET SUPERSPAR	6001299006791/2005141	0000000269640		1	112.5	112.50
CLOV MILK UHT F C     10x500ml	MALVERN MARKET SUPERSPAR	6001299002212/2000222	0000000269640		2	110	220.00
CLOV D S SM ST APR MF 8x6x100g	MALVERN MARKET SUPERSPAR	6001299001871/2002975	0000000269640		1	127.92	127.92
CLOV BLISS DC CHOC CHIP 6x500g	MALVERN MARKET SUPERSPAR	6001299033476/2003357	0000000269640		2	116.82	233.64
CLOV BLISS DC HAZELNUT  6x500g	MALVERN MARKET SUPERSPAR	6001299033551/2003365	0000000269640		1	116.82	116.82
CLOV BLISS DC CHOC CHIP  6x1Kg	MALVERN MARKET SUPERSPAR	6001299033674/2003377	0000000269640		1	196.14	196.14
CLOV BLISS DC STRAWB CRM 6x1Kg	MALVERN MARKET SUPERSPAR	6001299033704/2003380	0000000269640		1	196.14	196.14
CLOV BLISS DC HAZELNUT   6x1Kg	MALVERN MARKET SUPERSPAR	6001299033759/2003385	0000000269640		1	196.14	196.14
BLISS MULTIPACK 8x6x100g	MALVERN MARKET SUPERSPAR	6001299034763/2003673	0000000269640		1	150.24	150.24
DB FR F DS FR FC S AP 8x6x100g	MALVERN MARKET SUPERSPAR	6001180016069/2003685	0000000269640		1	139.04	139.04
D BEL D S    PLAIN       6x1Kg	MALVERN MARKET SUPERSPAR	6001180066408/2006640	0000000269640		1	196.14	196.14
CLO CLAS MAYO MEDIUM 2x6x750g	MALVERN MARKET SUPERSPAR	6001299018008/2007059	0000000269640		1	349.32	349.32
KRUSH 100% TROP PUNCH  1x1.5Lt	MALVERN MARKET SUPERSPAR	6001299010026/2001002	0000000269640		6	30.51	183.06
KRUSH 100% BERRY       1x1.5Lt	MALVERN MARKET SUPERSPAR	6001299010033/2001003	0000000269640		6	30.51	183.06
KRUSH 100% ORANGE      1x1.5Lt	MALVERN MARKET SUPERSPAR	6001299010064/2001006	0000000269640		6	30.51	183.06
KRUSH 100% MANGO       1x1.5Lt	MALVERN MARKET SUPERSPAR	6001299010071/2001007	0000000269640		6	30.51	183.06
KRUSH 100% RED GRAPE   1x1.5Lt	MALVERN MARKET SUPERSPAR	6001299017445/2001744	0000000269640		6	30.51	183.06
KRUSH 100% FJ CRANBR   1x1.5Lt	MALVERN MARKET SUPERSPAR	6001299010576/2003402	0000000269640		12	30.51	366.12
KRUSH 100% APPLE       1x1.5Lt	MALVERN MARKET SUPERSPAR	6001299049620/2004962	0000000269640		6	30.51	183.06
TROPIKA PEACH PET     10x500ml	MALVERN MARKET SUPERSPAR	6001299007989/2000863	0000000269640		1	135.6	135.60
TROPIKA MAN PEACH PL SQ  1x2Lt	MALVERN MARKET SUPERSPAR	6001299043017/2004301	0000000269640		12	27.12	325.44
TROPIKA TROPICAL PL SQ   1x2Lt	MALVERN MARKET SUPERSPAR	6001299012471/2051514	0000000269640		12	27.12	325.44
MAGEU MORINGA ORIGINAL 10x1Lt	MALVERN MARKET SUPERSPAR	6001260340794/0600751	0000000269640		1	134.7	134.70
MAGEU MORINGA ORIGINAL 10x500m	MALVERN MARKET SUPERSPAR	6001260340787/0600752	0000000269640		1	91.6	91.60
MAGEU NO 1 BAN CTN      10x1Lt	MALVERN MARKET SUPERSPAR	6001260000049/0605044	0000000269640		2	121.3	242.60
MAGEU NO 1 CREAM CTN    10x1Lt	MALVERN MARKET SUPERSPAR	6001260000032/0605045	0000000269640		1	121.3	121.30
MAGEU NO 1 MONATI MAB   10x1Lt	MALVERN MARKET SUPERSPAR	6001260341029/0640218	0000000269640		1	134.7	134.70
MAGEU NO 1 SMTH BAN CUST 6x1Lt	MALVERN MARKET SUPERSPAR	6001260342002/0642302	0000000269640		1	105	105.00
MAGEU NO 1 SMTH CRMY VAN 6x1Lt	MALVERN MARKET SUPERSPAR	6001260341975/0642303	0000000269640		1	105	105.00
MAGEU NO 1 SMTH  STR CRM 6x1Lt	MALVERN MARKET SUPERSPAR	6001260341982/0642304	0000000269640		1	105	105.00
MAGEU NO 1 SM CRM VAN  6x500ml	MALVERN MARKET SUPERSPAR	6001260342019/0642307	0000000269640		1	60.9	60.90
CRATES PLASTIC BIG 402	MALVERN MARKET SUPERSPAR	6001299009990/9000999	0000000269640		19	15	285.00

