
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
CLOV MILK M C SEAL FR 10x250ml	OGIES SPAR	6001299019203/2006030	0000000093602		1	67.9	67.90
CLOV MILK M C SEAL FR 10x500ml	OGIES SPAR	6001299019227/2006031	0000000093602		1	112.6	112.60
CLOV MILK F C SQ BT      1x2Lt	OGIES SPAR	6001299000270/2000027	0000000093602		24	29	696.00
CLOV MILK F C SEAL FR    1x1Lt	OGIES SPAR	6001299025402/2002540	0000000093602		10	17	170.00
CLOV ACT DR MILKY CHO 12x250ml	OGIES SPAR	6001299029073/7802930	0000000093602		1	97.92	97.92
CLOV ACT DR VAN CARAM 12x250ml	OGIES SPAR	6001299029080/7802931	0000000093602		1	97.92	97.92
CLOV UHT NUMEL 6x1Lt	OGIES SPAR	6001299000133/2002911	0000000093602		6	68.88	413.28
CLO SIP UP DDS STRAWBRY 6x850g	OGIES SPAR	6001299034022/2404306	0000000093602		1	93.54	93.54
CLO SIP UP DDS APRICOT  6x850g	OGIES SPAR	6001299034039/2404308	0000000093602		1	93.54	93.54
CLO SIP UP DDS GRANADIL 6x850g	OGIES SPAR	6001299034046/2404309	0000000093602		1	93.54	93.54
O P BLEND SEED OIL&amp;amp;EVOO 12x1Lt	OGIES SPAR	6002130480084/2003558	0000000093602		1	667.8	667.80
CLOV ULT PAS M C MILK 1x2Lt	OGIES SPAR	6001299019296/2006038	0000000093602		12	29	348.00
CLOV D S SM S BERRY   8x6x100g	OGIES SPAR	6001299001765/2402973	0000000093602		2	100.08	200.16
CLOV D S SM ST APR MF 8x6x100g	OGIES SPAR	6001299001871/2402975	0000000093602		2	100.08	200.16
CLOV D S SM APRICOT      6x1Kg	OGIES SPAR	6001299001949/2402980	0000000093602		1	145.14	145.14
CLOV BLISS DC STRWB CRM 6x500g	OGIES SPAR	6001299033506/2403360	0000000093602		1	104.28	104.28
CLOV BLISS DC HAZELNUT  6x500g	OGIES SPAR	6001299033551/2403365	0000000093602		1	104.28	104.28
CLOV BLISS DC BLK FOREST 6x1Kg	OGIES SPAR	6001299033667/2403376	0000000093602		1	163.74	163.74
CLOV BLISS DC CHOC CHIP  6x1Kg	OGIES SPAR	6001299033674/2403377	0000000093602		1	163.74	163.74
CLOV BLISS DC STRAWB CRM 6x1Kg	OGIES SPAR	6001299033704/2403380	0000000093602		1	163.74	163.74
CLOV BLISS DC HAZELNUT   6x1Kg	OGIES SPAR	6001299033759/2403385	0000000093602		1	163.74	163.74
CLO CL DS BERRY CO 8x6x100g	OGIES SPAR	6001299240232/2404310	0000000093602		2	100.08	200.16
DB FR F DS FR S BERRY 8x6x100g	OGIES SPAR	6001180016045/2401604	0000000093602		1	116.8	116.80
DB FR F DS FR FC S AP 8x6x100g	OGIES SPAR	6001180016069/2401606	0000000093602		1	116.8	116.80
D BEL D S    PLAIN       6x1Kg	OGIES SPAR	6001180066408/2406640	0000000093602		1	163.74	163.74
DB FR F DS FR STRAWBERRY 6x1Kg	OGIES SPAR	6001180066552/2406655	0000000093602		1	145.14	145.14
CLOVER AMASI M C         1x4Kg	OGIES SPAR	6001299019388/2005491	0000000093602		10	47.69	476.90
CLOVER CREAM FRESH    10x250ml	OGIES SPAR	6001299012082/2001206	0000000093602		1	203.4	203.40
KRUSH 100% BERRY      10x500ml	OGIES SPAR	6001299010637/2001063	0000000093602		2	120.9	241.80
KRUSH 100% RED GRAPE  10x500ml	OGIES SPAR	6001299017476/2001741	0000000093602		1	120.9	120.90
KRUSH 100% RED GRAPE   1x1.5Lt	OGIES SPAR	6001299017445/2001744	0000000093602		6	25.04	150.24
KRUSH 100% FJ CRANBR   1x1.5Lt	OGIES SPAR	6001299010576/2003402	0000000093602		6	25.04	150.24
KRUSH 100% FJ CRANB  10x500ml	OGIES SPAR	6001299010309/2003405	0000000093602		2	120.9	241.80
KRUSH 100% FJ CAR&amp;amp;ORG 10x500ml	OGIES SPAR	6001299015359/2003966	0000000093602		1	120.9	120.90
KRUSH 100% 6 FRT FIB   1x1.5Lt	OGIES SPAR	6001299045820/2004582	0000000093602		6	25.04	150.24
KRUSH 100% APPLE      10x500ml	OGIES SPAR	6001299049668/2004970	0000000093602		1	120.9	120.90
KRUSH 100% GUAVA       1x1.5Lt	OGIES SPAR	6001299053214/2005321	0000000093602		6	25.04	150.24
TROPIKA ORANGE PET    10x500ml	OGIES SPAR	6001299007965/2000849	0000000093602		1	115.6	115.60
TROPIKA COOL RED PL SQ 1x2Lt	OGIES SPAR	6001299018282/2003799	0000000093602		12	25.04	300.48
TROPIKA COOL RED PET  10x500ml	OGIES SPAR	6001299043574/2004358	0000000093602		1	115.6	115.60
TROPIKA PINEAPPLE PL SQ  1x2Lt	OGIES SPAR	6001299008122/2051506	0000000093602		12	25.04	300.48
TROPIKA TROPICAL PL SQ   1x2Lt	OGIES SPAR	6001299012471/2051514	0000000093602		12	25.04	300.48
CRATES PLASTIC BIG 402	OGIES SPAR	6001299009990/9000999	0000000093602		11	15	165.00

