
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
CLV FRESH JUG F/C MILK KVI	RIVONIA CROSSING SUPERSPAR	6001299000270/2000027	0000000030474	30/08/2022	48	32.54	1561.92
CLV FRESH JUG L/F MILK	RIVONIA CROSSING SUPERSPAR	6001299000621/2000062	0000000030474	30/08/2022	12	32.54	390.48
KRUSH 100% ORANGE	RIVONIA CROSSING SUPERSPAR	6001299010101/2001044	0000000030474	30/08/2022	1	137.3	137.3
KRUSH 100% F/JCE BERRIES	RIVONIA CROSSING SUPERSPAR	6001299010637/2001063	0000000030474	30/08/2022	1	137.3	137.3
TROPIKA D/BLEND MANGO PEA	RIVONIA CROSSING SUPERSPAR	6001299015717/2001571	0000000030474	30/08/2022	6	20.97	125.82
TROPIKA EAZY D/B MAN PEAC	RIVONIA CROSSING SUPERSPAR	6001299015847/2001583	0000000030474	30/08/2022	1	111.24	111.24
CLOVER MILK LOW FAT 2%	RIVONIA CROSSING SUPERSPAR	6001299016110/2001611	0000000030474	30/08/2022	6	32.54	195.24
CLOVER MILK UP F/CRM	RIVONIA CROSSING SUPERSPAR	6001299016158/2001615	0000000030474	30/08/2022	6	32.54	195.24
CLOVER NECTAR BERRY	RIVONIA CROSSING SUPERSPAR	6001299016370/2001637	0000000030474	30/08/2022	6	24.34	146.04
CLOVER MILK FRESH F/CREAM	RIVONIA CROSSING SUPERSPAR	6001299025419/2002542	0000000030474	30/08/2022	1	87.9	87.9
TROPIKA EAZY TROP PRISMA 6x1Lt	RIVONIA CROSSING SUPERSPAR	6001299028311/2002832	0000000030474	30/08/2022	1	83.46	83.46
CLOVER YOG BLISS HAZELNUT	RIVONIA CROSSING SUPERSPAR	6001299033353/2003345	0000000030474	30/08/2022	1	101.64	101.64
CLOVER YOG BLISS B/FOREST	RIVONIA CROSSING SUPERSPAR	6001299033469/2003356	0000000030474	30/08/2022	1	104.28	104.28
CLOVER YOG BLISS C/CHIP	RIVONIA CROSSING SUPERSPAR	6001299033476/2003357	0000000030474	30/08/2022	1	104.28	104.28
KRUSH JCE 100% CRANBERRY	RIVONIA CROSSING SUPERSPAR	6001299010576/2003402	0000000030474	30/08/2022	6	26.97	161.82
