
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
KRUSH 100% UHT CRANBERRY	RIVONIA CROSSING SUPERSPAR	6001299010606/2003404	0000000030474	30/08/2022	1	113.88	113.88
KRUSH 100% FRT JCE CRANB	RIVONIA CROSSING SUPERSPAR	6001299010309/2003405	0000000030474	30/08/2022	1	137.3	137.3
CLOVER SIP UP DSNK STRAWB	RIVONIA CROSSING SUPERSPAR	6001299033322/2003601	0000000030474	30/08/2022	1	88.1	88.1
CLOVER SIP UP DSNK C/CHIP	RIVONIA CROSSING SUPERSPAR	6001299033872/2003602	0000000030474	30/08/2022	1	88.1	88.1
CLOVER SIP UP DSNK APRICO	RIVONIA CROSSING SUPERSPAR	6001299033902/2003603	0000000030474	30/08/2022	1	88.1	88.1
CLOVER SIP UP DSNK B/FAST	RIVONIA CROSSING SUPERSPAR	6001299033964/2003606	0000000030474	30/08/2022	1	88.1	88.1
CLOVER SIP UP DSNK BOOST	RIVONIA CROSSING SUPERSPAR	6001299033995/2003607	0000000030474	30/08/2022	1	88.1	88.1
KRUSH 100% JCE CARROT ORN	RIVONIA CROSSING SUPERSPAR	6001299015359/2003966	0000000030474	30/08/2022	1	137.3	137.3
TROPIKA MANGO   PEACH	RIVONIA CROSSING SUPERSPAR	6001299043017/2004301	0000000030474	30/08/2022	6	25.87	155.22
CLOVER SIP UP DSNK APRICO	RIVONIA CROSSING SUPERSPAR	6001299034039/2004308	0000000030474	30/08/2022	1	109.86	109.86
CLOVER SIP UP DSNK GRANAD	RIVONIA CROSSING SUPERSPAR	6001299034046/2004309	0000000030474	30/08/2022	1	109.86	109.86
CLOVER 20% GUAVA NECTOR	RIVONIA CROSSING SUPERSPAR	6001299043123/2004312	0000000030474	30/08/2022	5	17.63	88.15
KRUSH 100% F/JCE 6FRT WHE	RIVONIA CROSSING SUPERSPAR	6001299045813/2004579	0000000030474	30/08/2022	1	137.3	137.3
KRUSH JCE 100% APPLE	RIVONIA CROSSING SUPERSPAR	6001299049620/2004962	0000000030474	30/08/2022	6	26.97	161.82
KRUSH 100% GUAVA	RIVONIA CROSSING SUPERSPAR	6001299053214/2005321	0000000030474	30/08/2022	6	26.97	161.82
CLOVER BLISS PLAIN YOGHURT	RIVONIA CROSSING SUPERSPAR	6001180066408/2006640	0000000030474	30/08/2022	1	176.34	176.34
CLOVER CREAM SOUR MED FAT	RIVONIA CROSSING SUPERSPAR	6001299019821/2007020	0000000030474	30/08/2022	1	223.8	223.8
TROPIKA PINEAPPLE	RIVONIA CROSSING SUPERSPAR	6001299008122/2051506	0000000030474	30/08/2022	6	25.87	155.22
KRUSH 6 FRUIT/6 VITAMIN	RIVONIA CROSSING SUPERSPAR	6001299600364/2060037	0000000030474	30/08/2022	1	137.3	137.3
KRUSH 6 FRUIT/6 VITAMINS	RIVONIA CROSSING SUPERSPAR	6001299600388/2060038	0000000030474	30/08/2022	1	26.97	26.97
NESTLE P/LIFE STILL	RIVONIA CROSSING SUPERSPAR	6004318000602/2102758	0000000030474	30/08/2022	1	114.48	114.48
NESTLE P/LIFE SPARKLING	RIVONIA CROSSING SUPERSPAR	6004318002309/2102777	0000000030474	30/08/2022	1	156.48	156.48
NESTLE P/LIFE SP/WATER	RIVONIA CROSSING SUPERSPAR	6001068507900/2102778	0000000030474	30/08/2022	1	114.48	114.48
MANHATTAN I/TEA PEACH	RIVONIA CROSSING SUPERSPAR	6001299023576/2102887	0000000030474	30/08/2022	1	117.96	117.96
MANHATTAN I/TEA LEMON	RIVONIA CROSSING SUPERSPAR	6001299023613/2102888	0000000030474	30/08/2022	1	117.96	117.96
AQUARTZ STILL WATER	RIVONIA CROSSING SUPERSPAR	6001299043451/2104345	0000000030474	30/08/2022	1	114.48	114.48
SUPER M  CHOCOLATE	RIVONIA CROSSING SUPERSPAR	6001299054082/2105409	0000000030474	30/08/2022	1	140.64	140.64

