
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
OLIVE PRIDE BLEND O/OIL	VALHALLA SPAR	6002130480084/123	0000000249979	22/07/2014	1	1001.52	1001.52
CLOVER CREAM	VALHALLA SPAR	6001299012082/2001206	0000000249979	22/07/2014	1	223.8	223.8
CLOVER CONDENSED MILK	VALHALLA SPAR	6001299012709/2001271	0000000249979	22/07/2014	1	242.04	242.04
CLOVER MILK UHT FAT FREE	VALHALLA SPAR	6001299015250/2001518	0000000249979	22/07/2014	2	118.5	237
CLOVER MILK UHT 2% L/FAT	VALHALLA SPAR	6001299015281/2001521	0000000249979	22/07/2014	2	98.7	197.4
F/FOREST DSNK STRAWBERRY	VALHALLA SPAR	6001180016045/2001604	0000000249979	22/07/2014	1	92.88	92.88
CLOVER AMASI	VALHALLA SPAR	6001299021831/2002175	0000000249979	22/07/2014	1	92	92
TROPIKA EAZY ORANGE	VALHALLA SPAR	6001299028106/2002800	0000000249979	22/07/2014	1	122.04	122.04
TROPIKA EAZY PINEAPPLE	VALHALLA SPAR	6001299028113/2002806	0000000249979	22/07/2014	1	122.04	122.04
TROPIKA EAZY MANGO PEACH	VALHALLA SPAR	6001299028120/2002808	0000000249979	22/07/2014	1	122.04	122.04
TROPIKA EAZY TROPICAL	VALHALLA SPAR	6001299028137/2002809	0000000249979	22/07/2014	1	122.04	122.04
CLOVER CUSTARD VANILLA	VALHALLA SPAR	6001299029028/2002902	0000000249979	22/07/2014	1	161.52	161.52
CLOVER DSNK LF SM STRAWB	VALHALLA SPAR	6001299001765/2002973	0000000249979	22/07/2014	1	100.08	100.08
CLOVER DSNK LF SM STR/APR	VALHALLA SPAR	6001299001871/2002975	0000000249979	22/07/2014	1	100.08	100.08
CLOVER DSNK LF SM STRAWB	VALHALLA SPAR	6001299001888/2002976	0000000249979	22/07/2014	1	89.4	89.4
CLOVER DSNK LF SM M/FRUIT	VALHALLA SPAR	6001299001901/2002978	0000000249979	22/07/2014	1	89.4	89.4
CLASSIC YOG VAN CREMES	VALHALLA SPAR	6001299034435/2003684	0000000249979	22/07/2014	1	100.08	100.08
KRUSH 100% UHT CARROT ORN	VALHALLA SPAR	6001299015298/2003950	0000000249979	22/07/2014	1	122.04	122.04
CLOVER DSNK CLS RASB/BERR	VALHALLA SPAR	6001299240232/2004310	0000000249979	22/07/2014	1	100.08	100.08
SUPER M CHOCOLATE	VALHALLA SPAR	6001299044601/2004461	0000000249979	22/07/2014	2	273.12	546.24
SUPER M CREAM SODA	VALHALLA SPAR	6001299044663/2004467	0000000249979	22/07/2014	1	273.12	273.12
CLOVER NOLAC UHT F/CRM	VALHALLA SPAR	6001299006791/2005141	0000000249979	22/07/2014	4	105.54	422.16
KRUSH 100% UHT APPLE	VALHALLA SPAR	6001299007040/2005186	0000000249979	22/07/2014	1	122.04	122.04
KRUSH 100% UHT ORANGE	VALHALLA SPAR	6001299007217/2005187	0000000249979	22/07/2014	1	122.04	122.04
KRUSH 100% UHT MANGO	VALHALLA SPAR	6001299007330/2005188	0000000249979	22/07/2014	1	122.04	122.04
KRUSH 100% UHT FRT/VIT	VALHALLA SPAR	6001299007361/2005189	0000000249979	22/07/2014	1	122.04	122.04
KRUSH 100% UHT FR/FIB	VALHALLA SPAR	6001299007392/2005190	0000000249979	22/07/2014	1	122.04	122.04
SUPER M MINI S/BERRY	VALHALLA SPAR	6001299053665/2005361	0000000249979	22/07/2014	1	119.04	119.04
SUPER M MILK CHOCOLATE	VALHALLA SPAR	6001299053696/2005363	0000000249979	22/07/2014	1	119.04	119.04
SUPER M MILK BANANA	VALHALLA SPAR	6001299053658/2005367	0000000249979	22/07/2014	1	119.04	119.04
SUPER M STRAWBERRY	VALHALLA SPAR	6001299054068/2005407	0000000249979	22/07/2014	4	23.44	93.76
SUPER M  CHOCOLATE	VALHALLA SPAR	6001299054082/2005409	0000000249979	22/07/2014	4	23.44	93.76
MAMA BAKE MARGARINE	VALHALLA SPAR	6001299014284/2005476	0000000249979	22/07/2014	1	242.04	242.04
CLOVER CREAM SOUR MED FAT	VALHALLA SPAR	6001299019821/2007020	0000000249979	22/07/2014	1	223.8	223.8
CLO CLAS MAYO MEDIUM 2	VALHALLA SPAR	6001299018008/2007059	0000000249979	22/07/2014	1	305.64	305.64
CLOVER WHIPPED CRM AEROSOL	VALHALLA SPAR	6001299845000/2084501	0000000249979	22/07/2014	1	594.12	594.12
ORLEY W/CRM DES TOPPING	VALHALLA SPAR	6001459004391/5922221	0000000249979	22/07/2014	1	177.12	177.12

