
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
CLV FRESH JUG F/C MILK KVI	SPAR HENNENMAN	6001299000270/2000027	0000000097795	18/10/2021	64	26.5	1696
KRUSH 100% TROP/PUNCH	SPAR HENNENMAN	6001299010026/2001002	0000000097795	18/10/2021	6	25.04	150.24
KRUSH 100% ORANGE	SPAR HENNENMAN	6001299010064/2001006	0000000097795	18/10/2021	12	25.04	300.48
KRUSH 100% MANGO	SPAR HENNENMAN	6001299010071/2001007	0000000097795	18/10/2021	6	25.04	150.24
KRUSH 100% F/JCE R/GRAPE	SPAR HENNENMAN	6001299017445/2001744	0000000097795	18/10/2021	6	25.04	150.24
TROPIKA EAZY TROPICAL	SPAR HENNENMAN	6001299028137/2002809C	0000000097795	18/10/2021	1	119.04	119.04
KRUSH 100% FRT JCE CRANB	SPAR HENNENMAN	6001299010576/2003402	0000000097795	18/10/2021	6	25.04	150.24
KRUSH 100% JCE CARROT ORN	SPAR HENNENMAN	6001299015311/2003800	0000000097795	18/10/2021	6	25.04	150.24
SUPER M STRAWBERRY	SPAR HENNENMAN	6001299044519/2004452C	0000000097795	18/10/2021	1	194.24	194.24
SUPER M CHOCOLATE	SPAR HENNENMAN	6001299044601/2004461C	0000000097795	18/10/2021	1	194.24	194.24
KRUSH 100% 6 FRT/WHT FIBRE	SPAR HENNENMAN	6001299045820/2004582	0000000097795	18/10/2021	6	25.04	150.24
KRUSH 100% APPLE	SPAR HENNENMAN	6001299049620/2004962	0000000097795	18/10/2021	12	25.04	300.48
KRUSH 100% GUAVA	SPAR HENNENMAN	6001299053214/2005321	0000000097795	18/10/2021	6	25.04	150.24
KRUSH 6 FRUIT/6 VITAMINS	SPAR HENNENMAN	6001299600388/2060038	0000000097795	18/10/2021	6	25.04	150.24
NO1 MAGEU SMTH CRMY VAN	SPAR HENNENMAN	6001260342002/42303	0000000097795	18/10/2021	2	94.82	189.64
MAGEU NO 1 MORINGA ORIGIN	SPAR HENNENMAN	6001260340794/600751	0000000097795	18/10/2021	1	121.67	121.67
MAGEU 1 SMTH S/BERRY  CRM	SPAR HENNENMAN	6001260000421/602184	0000000097795	18/10/2021	1	158.07	158.07
MAGEU 1 SMTH BANANA CUST	SPAR HENNENMAN	6001260000414/602186	0000000097795	18/10/2021	1	158.07	158.07

