DCEanCode,Supplier Primary EAN,Supplier Despatch Point,Vendor Code,DocDate,DocumentType,SupplierDocumentNo,StoreCode,StoreName,StoreEanCode,DocumentAmountExcl,DocumentAmountIncl,DiscountAmountExcl,DiscountAmountIncl,VatAmountPayable,NetAmountIncl,PaymentNumber
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013090932,30150,NINA PARK SUPERSPAR,6001008501302,-2945.64,-3358.03,-88.37,-100.74,-400.02,-3257.29,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013097485,30941,SILVERPLACE SUPERSPAR,6001008510359,-807.73,-920.81,-24.23,-27.62,-109.69,-893.19,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162016,10600,WESTPARK SUPERSPAR,6001008500312,-221.07,-252.02,-6.63,-7.56,-30.02,-244.46,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013157958,30709,THE HILL KWIKSPAR,6001008507878,1547.71,1764.39,46.43,52.93,210.18,1711.46,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013162923,30502,MONTANA SUPERSPAR,6001008504808,4361.27,4971.85,130.84,149.16,592.26,4822.69,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162204,30785,PRETORIA NORTH SPAR,6001008508622,-82.45,-93.99,-2.47,-2.82,-11.19,-91.17,296745
6001008000041,6004930015367, ,005187,05/07/2016,INV,9013141438,30270,LYTTELTON SUPERSPAR,6001008502446,105.27,120.01,3.16,3.60,14.30,116.41,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013191352,30863,NABOOM SPAR,6001008509445,155.80,177.61,4.67,5.32,21.16,172.29,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013090904,30722,MOOIKLOOF SPAR,6001008508004,-1046.96,-1193.53,-31.41,-35.81,-142.17,-1157.72,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013089572,30701,BARCLAY SQUARE SPAR,6001008507793,-779.72,-888.88,-23.39,-26.66,-105.89,-862.22,296745
6001008000041,6004930015367, ,005187,05/07/2016,INV,9013191091,30948,FLORA PARK SPAR,6001008510229,177.85,202.75,5.34,6.09,24.15,196.66,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013162299,30286,SUTHERLAND SUPERSPAR,6001008502606,2378.45,2711.43,71.35,81.34,322.99,2630.09,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013093776,10346,MALULEKE SPAR,6001008500138,-43.14,-49.18,-1.29,-1.47,-5.86,-47.71,296745
