DCEanCode,Supplier Primary EAN,Supplier Despatch Point,Vendor Code,DocDate,DocumentType,SupplierDocumentNo,StoreCode,StoreName,StoreEanCode,DocumentAmountExcl,DocumentAmountIncl,DiscountAmountExcl,DiscountAmountIncl,VatAmountPayable,NetAmountIncl,PaymentNumber
6001008000034,6001299000010, ,001518,19/07/2016,CR,61799585,21461,RETAIL CROSSING SUPERSPAR,6001008406133,-65.80,-75.01,-3.36,-3.83,-8.74,-71.18,294081
6001008000034,6001299000010, ,001518,01/07/2016,INV,62330809,21245,BIRCHGATE SPAR,6001008403446,12810.10,13260.55,654.59,732.80,372.24,12527.75,294081
6001008000034,6001299000010, ,001518,01/07/2016,INV,62325003,21444,DOUGLAS SPAR (FS),6001008405914,33615.28,36767.69,1717.74,1942.68,2927.47,34825.01,294081
6001008000034,6001299000010, ,001518,29/07/2016,CR,62772909,10264,KARAGLEN SUPERSPAR,6001008400186,-84.00,-95.76,-4.29,-4.89,-11.16,-90.87,294081
6001008000034,6001299000010, ,001518,19/07/2016,CR,62398050,21624,DOWERGLEN KWIKSPAR,6001008407475,-564.00,-564.00,-28.82,-32.07,3.25,-531.93,294081
6001008000034,6001299000010, ,001518,01/07/2016,INV,62335354,21644,ELSBURG SPAR,6001008407659,6895.22,7208.05,352.35,395.16,270.02,6812.89,294081
6001008000034,6001299000010, ,001518,14/07/2016,CR,62434383,22006,FONTANA BLUBERRY SPAR,6001008411007,-1573.93,-1652.98,-80.43,-90.28,-69.20,-1562.70,294081
6001008000034,6001299000010, ,001518,06/07/2016,INV,62404580,21774,FONTANA CRESTA SPAR,6001008408892,6717.24,7320.76,343.25,387.93,558.84,6932.83,294081
6001008000034,6001299000010, ,001518,11/06/2016,CR,61998263CL,21481,THE PALMS SUPERSPAR,6001008406508,-38.68,-44.10,-1.98,-2.25,-5.15,-41.85,294081
6001008000034,6001299000010, ,001518,19/07/2016,CR,62577278,21232,CARLETON KWIKSPAR,6001008402821,-1375.00,-1567.50,-70.26,-80.10,-182.66,-1487.40,294081
6001008000034,6001299000010, ,001518,25/07/2016,CR,62456990,21950,MIDDELBURG MALL SUPERSPAR,6001008410581,-994.68,-1116.62,-50.83,-57.77,-115.00,-1058.85,294081
6001008000034,6001299000010, ,001518,01/07/2016,CR,62226977,21674,SECUNDA SUPERSPAR,6001008407758,-2287.98,-2608.30,-116.92,-133.29,-303.95,-2475.01,294081
6001008000034,6001299000010, ,001518,21/07/2016,CR,62106232,22050,PARKMORE KWIKSPAR,6001008411595,-496.50,-566.01,-25.38,-28.94,-65.95,-537.07,294081
6001008000034,6001299000010, ,001518,06/07/2016,INV,62401953,21503,BUCCLEUCH KWIKSPAR,6001008406317,9714.58,10378.93,496.42,558.96,601.81,9819.97,294081
6001008000034,6001299000010, ,001518,28/07/2016,CR,62530572,22023,EMALAHLENI SPAR,6001008411304,-214.38,-244.39,-10.95,-12.48,-28.48,-231.91,294081
6001008000034,6001299000010, ,001518,05/07/2016,INV,62385587,25026,HEUWELSIG SPAR (FS),6001008402951,9516.42,10519.35,486.29,551.08,938.14,9968.27,294081
6001008000034,6001299000010, ,001518,06/07/2016,INV,62406706,21776,WALKERVILLE SPAR,6001008408922,7143.62,7696.33,365.04,411.67,506.08,7284.66,294081
6001008000034,6001299000010, ,001518,05/07/2016,INV,62377523,21962,EVATON SUPERSPAR,6001008410826,10657.44,11840.63,544.59,617.74,1110.04,11222.89,294081
6001008000034,6001299000010, ,001518,08/06/2016,CR,61918487CL,21554,MELVILLE SUPERSPAR,6001008406829,-18.48,-19.81,-0.94,-1.06,-1.21,-18.75,294081
6001008000034,6001299000010, ,001518,20/07/2016,CR,62505590,21776,WALKERVILLE SPAR,6001008408922,-812.53,-915.59,-41.52,-47.22,-97.36,-868.37,294081
6001008000034,6001299000010, ,001518,11/07/2016,CR,62466502,21940,NORTH POINT SPAR,6001008410420,-27.30,-31.12,-1.40,-1.60,-3.62,-29.52,294081
6001008000034,6001299000010, ,001518,01/07/2016,INV,62336902,21481,THE PALMS SUPERSPAR,6001008406508,115.80,132.02,5.91,6.74,15.39,125.28,294081
6001008000034,6001299000010, ,001518,25/07/2016,CR,62646670,21856,KENWORTH SUPERSPAR (FS) CORPOR,6001008409738,-273.65,-311.96,-13.98,-15.93,-36.36,-296.03,294081
6001008000034,6001299000010, ,001518,05/07/2016,INV,62367665,21473,REITZ SPAR (FS),6001008406065,537.12,612.31,27.44,31.28,71.35,581.03,294081
6001008000034,6001299000010, ,001518,11/07/2016,CR,62373316,22021,EAGLE CANYON SUPERSPAR,6001008411250,-275.00,-313.50,-14.05,-16.02,-36.53,-297.48,294081
6001008000034,6001299000010, ,001518,01/07/2016,INV,62330171,21911,ZIO CASH AND CARRY (CONTRACT),6001008410222,9199.50,10094.11,470.10,531.98,832.73,9562.13,294081
